4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
All,Bulgaria,All,Full-time,2021/22,North East,80
All,Bulgaria,All,Full-time,2021/22,North West,320
All,Bulgaria,All,Full-time,2021/22,Yorkshire and The Humber,190
All,Bulgaria,All,Full-time,2021/22,East Midlands,165
All,Bulgaria,All,Full-time,2021/22,West Midlands,245
All,Bulgaria,All,Full-time,2021/22,East of England,255
All,Bulgaria,All,Full-time,2021/22,London,870
All,Bulgaria,All,Full-time,2021/22,South East,610
All,Bulgaria,All,Full-time,2021/22,South West,260
All,Bulgaria,All,Full-time,2021/22,The Open University in England,0
All,Bulgaria,All,Full-time,2021/22,England,2995
All,Bulgaria,All,Full-time,2021/22,Wales,140
All,Bulgaria,All,Full-time,2021/22,Scotland,645
All,Bulgaria,All,Full-time,2021/22,Northern Ireland,5
All,Bulgaria,All,Full-time,2021/22,Total United Kingdom,3790
All,Bulgaria,All,Part-time,2021/22,North East,5
All,Bulgaria,All,Part-time,2021/22,North West,5
All,Bulgaria,All,Part-time,2021/22,Yorkshire and The Humber,15
All,Bulgaria,All,Part-time,2021/22,East Midlands,5
All,Bulgaria,All,Part-time,2021/22,West Midlands,20
All,Bulgaria,All,Part-time,2021/22,East of England,15
All,Bulgaria,All,Part-time,2021/22,London,65
All,Bulgaria,All,Part-time,2021/22,South East,30
All,Bulgaria,All,Part-time,2021/22,South West,15
All,Bulgaria,All,Part-time,2021/22,The Open University in England,0
All,Bulgaria,All,Part-time,2021/22,England,170
All,Bulgaria,All,Part-time,2021/22,Wales,5
All,Bulgaria,All,Part-time,2021/22,Scotland,40
All,Bulgaria,All,Part-time,2021/22,Northern Ireland,0
All,Bulgaria,All,Part-time,2021/22,Total United Kingdom,215
All,Bulgaria,All,All,2021/22,North East,80
All,Bulgaria,All,All,2021/22,North West,320
All,Bulgaria,All,All,2021/22,Yorkshire and The Humber,205
All,Bulgaria,All,All,2021/22,East Midlands,170
All,Bulgaria,All,All,2021/22,West Midlands,265
All,Bulgaria,All,All,2021/22,East of England,270
All,Bulgaria,All,All,2021/22,London,930
All,Bulgaria,All,All,2021/22,South East,635
All,Bulgaria,All,All,2021/22,South West,280
All,Bulgaria,All,All,2021/22,The Open University in England,0
All,Bulgaria,All,All,2021/22,England,3165
All,Bulgaria,All,All,2021/22,Wales,145
All,Bulgaria,All,All,2021/22,Scotland,685
All,Bulgaria,All,All,2021/22,Northern Ireland,5
All,Bulgaria,All,All,2021/22,Total United Kingdom,4005
All,Bulgaria,Postgraduate (research),Full-time,2021/22,North East,5
All,Bulgaria,Postgraduate (research),Full-time,2021/22,North West,10
All,Bulgaria,Postgraduate (research),Full-time,2021/22,Yorkshire and The Humber,5
All,Bulgaria,Postgraduate (research),Full-time,2021/22,East Midlands,10
All,Bulgaria,Postgraduate (research),Full-time,2021/22,West Midlands,5
All,Bulgaria,Postgraduate (research),Full-time,2021/22,East of England,10
All,Bulgaria,Postgraduate (research),Full-time,2021/22,London,25
All,Bulgaria,Postgraduate (research),Full-time,2021/22,South East,15
All,Bulgaria,Postgraduate (research),Full-time,2021/22,South West,5
All,Bulgaria,Postgraduate (research),Full-time,2021/22,The Open University in England,0
